@RELATION gemsales

@ATTRIBUTE material  {Diamond,Platinum,Gold,Silver}
@ATTRIBUTE shape     {Ring,Neckless,Earrings,Brooch,Brace}
@ATTRIBUTE weight    NUMERIC
@ATTRIBUTE brand     {WorldTopBrand,FamouseBrand,NationalBrand,NoBrand}
@ATTRIBUTE shop      {BrandStore,DepartmentStore,MassRetailer,DiscountStore}
@ATTRIBUTE price     NUMERIC

@DATA
Silver,Brace,56,FamouseBrand,DepartmentStore,408
Gold,Ring,48,NationalBrand,BrandStore,630
Diamond,Earrings,37,NationalBrand,BrandStore,1121
Diamond,Neckless,20,FamouseBrand,BrandStore,2160
Diamond,Neckless,33,FamouseBrand,DepartmentStore,2196
Silver,Brooch,55,NationalBrand,DepartmentStore,164
Platinum,Brooch,58,WorldTopBrand,BrandStore,3779
Gold,Earrings,49,NationalBrand,BrandStore,604
Silver,Neckless,59,NoBrand,DiscountStore,62
Gold,Ring,13,NationalBrand,DepartmentStore,375
Platinum,Neckless,23,NationalBrand,DiscountStore,484
Diamond,Earrings,28,FamouseBrand,BrandStore,2336
Silver,Neckless,54,NationalBrand,DiscountStore,122
Platinum,Brooch,28,NoBrand,DepartmentStore,342
Silver,Neckless,49,NoBrand,DiscountStore,59
Platinum,Brace,40,NationalBrand,DepartmentStore,829
Silver,Neckless,21,FamouseBrand,DepartmentStore,288
Gold,Ring,11,NationalBrand,DepartmentStore,349
Platinum,Brace,44,WorldTopBrand,DepartmentStore,3408
Silver,Ring,11,WorldTopBrand,BrandStore,470
Silver,Brace,27,FamouseBrand,BrandStore,379
Diamond,Brace,47,FamouseBrand,BrandStore,2948
Gold,Brooch,50,FamouseBrand,BrandStore,1365
Silver,Earrings,45,WorldTopBrand,DepartmentStore,625
Platinum,Brace,21,FamouseBrand,DepartmentStore,1560
Diamond,Brace,53,NoBrand,DepartmentStore,595
Silver,Neckless,18,WorldTopBrand,DepartmentStore,489
Platinum,Earrings,41,WorldTopBrand,BrandStore,3469
Diamond,Brace,11,NationalBrand,DepartmentStore,728
Silver,Brace,56,WorldTopBrand,BrandStore,822
Silver,Brooch,50,NationalBrand,DepartmentStore,161
Gold,Brace,47,NationalBrand,DiscountStore,423
Silver,Neckless,29,NoBrand,DepartmentStore,70
Silver,Brooch,48,WorldTopBrand,DepartmentStore,637
Silver,Earrings,26,WorldTopBrand,BrandStore,608
Diamond,Neckless,40,WorldTopBrand,DepartmentStore,4125
Platinum,Earrings,24,WorldTopBrand,BrandStore,2965
Diamond,Ring,16,NationalBrand,BrandStore,909
Silver,Ring,23,WorldTopBrand,DepartmentStore,540
Silver,Earrings,50,NoBrand,DiscountStore,59
Silver,Brooch,49,FamouseBrand,BrandStore,408
Silver,Ring,53,NoBrand,DiscountStore,62
Silver,Brace,44,NoBrand,DiscountStore,62
Gold,Brace,38,NationalBrand,BrandStore,620
Platinum,Brace,23,FamouseBrand,DepartmentStore,1594
Platinum,Brooch,28,FamouseBrand,BrandStore,1761
Gold,Neckless,25,NationalBrand,DiscountStore,329
Gold,Ring,30,WorldTopBrand,DepartmentStore,1951
Gold,Ring,35,WorldTopBrand,DepartmentStore,2041
Platinum,Neckless,12,NationalBrand,DepartmentStore,535
Diamond,Brace,35,WorldTopBrand,DepartmentStore,4266
Silver,Ring,55,FamouseBrand,BrandStore,440
Platinum,Ring,24,NationalBrand,BrandStore,782
Diamond,Ring,53,NoBrand,DepartmentStore,571
Diamond,Neckless,42,WorldTopBrand,BrandStore,4740
Diamond,Ring,55,NoBrand,DiscountStore,423
Silver,Ring,16,NoBrand,DepartmentStore,60
Silver,Brace,57,WorldTopBrand,DepartmentStore,728
Diamond,Brace,51,NationalBrand,DepartmentStore,1182
Platinum,Earrings,58,NationalBrand,BrandStore,946
Gold,Brace,16,NoBrand,DiscountStore,154
Silver,Neckless,42,NoBrand,DiscountStore,57
Silver,Ring,38,NoBrand,DiscountStore,57
Silver,Earrings,24,NationalBrand,BrandStore,149
Silver,Neckless,53,NationalBrand,DiscountStore,122
Gold,Brace,16,NationalBrand,DepartmentStore,419
Platinum,Ring,57,NationalBrand,DepartmentStore,870
Gold,Ring,51,FamouseBrand,DepartmentStore,1271
Platinum,Neckless,39,FamouseBrand,BrandStore,1955
Silver,Earrings,43,WorldTopBrand,BrandStore,702
