id,material,shape,weight,brand,shop,price
0,Silver,Brace,56,FamouseBrand,DepartmentStore,408
1,Gold,Ring,48,NationalBrand,BrandStore,630
2,Diamond,Earrings,37,NationalBrand,BrandStore,1121
3,Diamond,Neckless,20,FamouseBrand,BrandStore,2160
4,Diamond,Neckless,33,FamouseBrand,DepartmentStore,2196
5,Silver,Brooch,55,NationalBrand,DepartmentStore,164
6,Platinum,Brooch,58,WorldTopBrand,BrandStore,3779
7,Gold,Earrings,49,NationalBrand,BrandStore,604
8,Silver,Neckless,59,NoBrand,DiscountStore,62
9,Gold,Ring,13,NationalBrand,DepartmentStore,375
10,Platinum,Neckless,23,NationalBrand,DiscountStore,484
11,Diamond,Earrings,28,FamouseBrand,BrandStore,2336
12,Silver,Neckless,54,NationalBrand,DiscountStore,122
13,Platinum,Brooch,28,NoBrand,DepartmentStore,342
14,Silver,Neckless,49,NoBrand,DiscountStore,59
15,Platinum,Brace,40,NationalBrand,DepartmentStore,829
16,Silver,Neckless,21,FamouseBrand,DepartmentStore,288
17,Gold,Ring,11,NationalBrand,DepartmentStore,349
18,Platinum,Brace,44,WorldTopBrand,DepartmentStore,3408
19,Silver,Ring,11,WorldTopBrand,BrandStore,470
20,Silver,Brace,27,FamouseBrand,BrandStore,379
21,Diamond,Brace,47,FamouseBrand,BrandStore,2948
22,Gold,Brooch,50,FamouseBrand,BrandStore,1365
23,Silver,Earrings,45,WorldTopBrand,DepartmentStore,625
24,Platinum,Brace,21,FamouseBrand,DepartmentStore,1560
25,Diamond,Brace,53,NoBrand,DepartmentStore,595
26,Silver,Neckless,18,WorldTopBrand,DepartmentStore,489
27,Platinum,Earrings,41,WorldTopBrand,BrandStore,3469
28,Diamond,Brace,11,NationalBrand,DepartmentStore,728
29,Silver,Brace,56,WorldTopBrand,BrandStore,822
30,Silver,Brooch,50,NationalBrand,DepartmentStore,161
31,Gold,Brace,47,NationalBrand,DiscountStore,423
32,Silver,Neckless,29,NoBrand,DepartmentStore,70
33,Silver,Brooch,48,WorldTopBrand,DepartmentStore,637
34,Silver,Earrings,26,WorldTopBrand,BrandStore,608
35,Diamond,Neckless,40,WorldTopBrand,DepartmentStore,4125
36,Platinum,Earrings,24,WorldTopBrand,BrandStore,2965
37,Diamond,Ring,16,NationalBrand,BrandStore,909
38,Silver,Ring,23,WorldTopBrand,DepartmentStore,540
39,Silver,Earrings,50,NoBrand,DiscountStore,59
40,Silver,Brooch,49,FamouseBrand,BrandStore,408
41,Silver,Ring,53,NoBrand,DiscountStore,62
42,Silver,Brace,44,NoBrand,DiscountStore,62
43,Gold,Brace,38,NationalBrand,BrandStore,620
44,Platinum,Brace,23,FamouseBrand,DepartmentStore,1594
45,Platinum,Brooch,28,FamouseBrand,BrandStore,1761
46,Gold,Neckless,25,NationalBrand,DiscountStore,329
47,Gold,Ring,30,WorldTopBrand,DepartmentStore,1951
48,Gold,Ring,35,WorldTopBrand,DepartmentStore,2041
49,Platinum,Neckless,12,NationalBrand,DepartmentStore,535
50,Diamond,Brace,35,WorldTopBrand,DepartmentStore,4266
51,Silver,Ring,55,FamouseBrand,BrandStore,440
52,Platinum,Ring,24,NationalBrand,BrandStore,782
53,Diamond,Ring,53,NoBrand,DepartmentStore,571
54,Diamond,Neckless,42,WorldTopBrand,BrandStore,4740
55,Diamond,Ring,55,NoBrand,DiscountStore,423
56,Silver,Ring,16,NoBrand,DepartmentStore,60
57,Silver,Brace,57,WorldTopBrand,DepartmentStore,728
