@RELATION gemsales

@ATTRIBUTE material  {ダイア,プラチナ,ゴールド,シルバー}
@ATTRIBUTE shape     {指輪,ネックレス,イアリング,ブローチ,ブレスレット}
@ATTRIBUTE weight    NUMERIC
@ATTRIBUTE brand     {海外超有名ブランド,海外有名ブランド,国内有名ブランド,ノーブランド}
@ATTRIBUTE shop      {直営店,百貨店,量販店,激安ショップ}
@ATTRIBUTE price     NUMERIC

@DATA
シルバー,ブレスレット,56,海外有名ブランド,百貨店,40864
ゴールド,指輪,48,国内有名ブランド,直営店,63055
ダイア,イアリング,37,国内有名ブランド,直営店,112159
ダイア,ネックレス,20,海外有名ブランド,直営店,216053
ダイア,ネックレス,33,海外有名ブランド,百貨店,219666
シルバー,ブローチ,55,国内有名ブランド,百貨店,16482
プラチナ,ブローチ,58,海外超有名ブランド,直営店,377919
ゴールド,イアリング,49,国内有名ブランド,直営店,60484
シルバー,ネックレス,59,ノーブランド,激安ショップ,6256
ゴールド,指輪,13,国内有名ブランド,百貨店,37514
プラチナ,ネックレス,23,国内有名ブランド,激安ショップ,48454
ダイア,イアリング,28,海外有名ブランド,直営店,233614
シルバー,ネックレス,54,国内有名ブランド,激安ショップ,12235
プラチナ,ブローチ,28,ノーブランド,百貨店,34285
シルバー,ネックレス,49,ノーブランド,激安ショップ,5970
プラチナ,ブレスレット,40,国内有名ブランド,百貨店,82960
シルバー,ネックレス,21,海外有名ブランド,百貨店,28852
ゴールド,指輪,11,国内有名ブランド,百貨店,34980
プラチナ,ブレスレット,44,海外超有名ブランド,百貨店,340849
シルバー,指輪,11,海外超有名ブランド,直営店,47053
シルバー,ブレスレット,27,海外有名ブランド,直営店,37987
ダイア,ブレスレット,47,海外有名ブランド,直営店,294841
ゴールド,ブローチ,50,海外有名ブランド,直営店,136531
シルバー,イアリング,45,海外超有名ブランド,百貨店,62524
プラチナ,ブレスレット,21,海外有名ブランド,百貨店,156091
ダイア,ブレスレット,53,ノーブランド,百貨店,59549
シルバー,ネックレス,18,海外超有名ブランド,百貨店,48924
プラチナ,イアリング,41,海外超有名ブランド,直営店,346927
ダイア,ブレスレット,11,国内有名ブランド,百貨店,72882
シルバー,ブレスレット,56,海外超有名ブランド,直営店,82287
シルバー,ブローチ,50,国内有名ブランド,百貨店,16132
ゴールド,ブレスレット,47,国内有名ブランド,激安ショップ,42399
シルバー,ネックレス,29,ノーブランド,百貨店,7090
シルバー,ブローチ,48,海外超有名ブランド,百貨店,63700
シルバー,イアリング,26,海外超有名ブランド,直営店,60836
