id,material,shape,weight,brand,shop,price
0,シルバー,ブレスレット,56,海外有名ブランド,百貨店,40864
1,ゴールド,指輪,48,国内有名ブランド,直営店,63055
2,ダイア,イアリング,37,国内有名ブランド,直営店,112159
3,ダイア,ネックレス,20,海外有名ブランド,直営店,216053
4,ダイア,ネックレス,33,海外有名ブランド,百貨店,219666
5,シルバー,ブローチ,55,国内有名ブランド,百貨店,16482
6,プラチナ,ブローチ,58,海外超有名ブランド,直営店,377919
7,ゴールド,イアリング,49,国内有名ブランド,直営店,60484
8,シルバー,ネックレス,59,ノーブランド,激安ショップ,6256
9,ゴールド,指輪,13,国内有名ブランド,百貨店,37514
10,プラチナ,ネックレス,23,国内有名ブランド,激安ショップ,48454
11,ダイア,イアリング,28,海外有名ブランド,直営店,233614
12,シルバー,ネックレス,54,国内有名ブランド,激安ショップ,12235
13,プラチナ,ブローチ,28,ノーブランド,百貨店,34285
14,シルバー,ネックレス,49,ノーブランド,激安ショップ,5970
15,プラチナ,ブレスレット,40,国内有名ブランド,百貨店,82960
16,シルバー,ネックレス,21,海外有名ブランド,百貨店,28852
17,ゴールド,指輪,11,国内有名ブランド,百貨店,34980
18,プラチナ,ブレスレット,44,海外超有名ブランド,百貨店,340849
19,シルバー,指輪,11,海外超有名ブランド,直営店,47053
20,シルバー,ブレスレット,27,海外有名ブランド,直営店,37987
21,ダイア,ブレスレット,47,海外有名ブランド,直営店,294841
22,ゴールド,ブローチ,50,海外有名ブランド,直営店,136531
23,シルバー,イアリング,45,海外超有名ブランド,百貨店,62524
24,プラチナ,ブレスレット,21,海外有名ブランド,百貨店,156091
25,ダイア,ブレスレット,53,ノーブランド,百貨店,59549
26,シルバー,ネックレス,18,海外超有名ブランド,百貨店,48924
27,プラチナ,イアリング,41,海外超有名ブランド,直営店,346927
28,ダイア,ブレスレット,11,国内有名ブランド,百貨店,72882
29,シルバー,ブレスレット,56,海外超有名ブランド,直営店,82287
30,シルバー,ブローチ,50,国内有名ブランド,百貨店,16132
31,ゴールド,ブレスレット,47,国内有名ブランド,激安ショップ,42399
32,シルバー,ネックレス,29,ノーブランド,百貨店,7090
33,シルバー,ブローチ,48,海外超有名ブランド,百貨店,63700
34,シルバー,イアリング,26,海外超有名ブランド,直営店,60836
35,ダイア,ネックレス,40,海外超有名ブランド,百貨店,412536
36,プラチナ,イアリング,24,海外超有名ブランド,直営店,296546
37,ダイア,指輪,16,国内有名ブランド,直営店,90980
38,シルバー,指輪,23,海外超有名ブランド,百貨店,54007
39,シルバー,イアリング,50,ノーブランド,激安ショップ,5913
40,シルバー,ブローチ,49,海外有名ブランド,直営店,40849
41,シルバー,指輪,53,ノーブランド,激安ショップ,6288
42,シルバー,ブレスレット,44,ノーブランド,激安ショップ,6240
43,ゴールド,ブレスレット,38,国内有名ブランド,直営店,62056
44,プラチナ,ブレスレット,23,海外有名ブランド,百貨店,159492
45,プラチナ,ブローチ,28,海外有名ブランド,直営店,176113
46,ゴールド,ネックレス,25,国内有名ブランド,激安ショップ,32968
47,ゴールド,指輪,30,海外超有名ブランド,百貨店,195193
48,ゴールド,指輪,35,海外超有名ブランド,百貨店,204127
49,プラチナ,ネックレス,12,国内有名ブランド,百貨店,53550
50,ダイア,ブレスレット,35,海外超有名ブランド,百貨店,426611
51,シルバー,指輪,55,海外有名ブランド,直営店,44047
52,プラチナ,指輪,24,国内有名ブランド,直営店,78273
53,ダイア,指輪,53,ノーブランド,百貨店,57133
54,ダイア,ネックレス,42,海外超有名ブランド,直営店,474001
55,ダイア,指輪,55,ノーブランド,激安ショップ,42305
56,シルバー,指輪,16,ノーブランド,百貨店,6090
57,シルバー,ブレスレット,57,海外超有名ブランド,百貨店,72871
58,ダイア,ブレスレット,51,国内有名ブランド,百貨店,118226
59,プラチナ,イアリング,58,国内有名ブランド,直営店,94608
60,ゴールド,ブレスレット,16,ノーブランド,激安ショップ,15497
61,シルバー,ネックレス,42,ノーブランド,激安ショップ,5733
62,シルバー,指輪,38,ノーブランド,激安ショップ,5734
63,シルバー,イアリング,24,国内有名ブランド,直営店,14937
64,シルバー,ネックレス,53,国内有名ブランド,激安ショップ,12204
65,ゴールド,ブレスレット,16,国内有名ブランド,百貨店,41962
66,プラチナ,指輪,57,国内有名ブランド,百貨店,87034
67,ゴールド,指輪,51,海外有名ブランド,百貨店,127101
68,プラチナ,ネックレス,39,海外有名ブランド,直営店,195528
69,シルバー,イアリング,43,海外超有名ブランド,直営店,70222
70,プラチナ,イアリング,56,海外有名ブランド,百貨店,186581
71,プラチナ,指輪,12,海外超有名ブランド,直営店,242207
72,ダイア,ブレスレット,40,海外超有名ブランド,直営店,504120
73,ダイア,ネックレス,25,海外超有名ブランド,百貨店,360702
74,ダイア,ブレスレット,57,海外超有名ブランド,百貨店,485400
75,プラチナ,ネックレス,16,海外有名ブランド,直営店,149507
76,シルバー,ブローチ,27,ノーブランド,百貨店,6799
77,シルバー,イアリング,56,海外有名ブランド,百貨店,37310
78,ダイア,ネックレス,58,海外有名ブランド,百貨店,254781
79,ゴールド,指輪,14,海外超有名ブランド,直営店,173684
80,シルバー,ブレスレット,13,国内有名ブランド,直営店,13202
81,プラチナ,ネックレス,31,国内有名ブランド,激安ショップ,52666
82,シルバー,ブローチ,26,国内有名ブランド,直営店,15162
83,ダイア,ブレスレット,35,国内有名ブランド,百貨店,106674
84,ゴールド,イアリング,58,国内有名ブランド,直営店,63192
85,プラチナ,ブローチ,55,国内有名ブランド,激安ショップ,60434
86,プラチナ,ブローチ,49,ノーブランド,百貨店,40029
87,ダイア,ブレスレット,17,海外有名ブランド,直営店,216591
88,シルバー,ブレスレット,48,海外超有名ブランド,直営店,79134
89,シルバー,ネックレス,48,国内有名ブランド,百貨店,16192
90,プラチナ,ブローチ,59,海外有名ブランド,直営店,213861
91,ダイア,指輪,25,ノーブランド,激安ショップ,34158
92,プラチナ,ブレスレット,43,国内有名ブランド,百貨店,84841
93,プラチナ,指輪,57,国内有名ブランド,直営店,98546
94,シルバー,ネックレス,40,国内有名ブランド,直営店,17526
95,ゴールド,ブローチ,16,国内有名ブランド,激安ショップ,28033
96,ゴールド,ブローチ,22,海外超有名ブランド,直営店,193559
97,シルバー,ブレスレット,28,ノーブランド,激安ショップ,5518
98,ダイア,ネックレス,24,ノーブランド,百貨店,44776
99,シルバー,ブレスレット,14,ノーブランド,百貨店,6081
100,シルバー,イアリング,52,ノーブランド,激安ショップ,5954
101,プラチナ,ブローチ,33,海外超有名ブランド,百貨店,287466
102,ダイア,イアリング,20,海外超有名ブランド,直営店,374367
103,ゴールド,ブローチ,51,海外超有名ブランド,直営店,244514
104,プラチナ,ネックレス,47,ノーブランド,百貨店,40261
105,ゴールド,イアリング,54,海外有名ブランド,百貨店,123328
106,ゴールド,ネックレス,26,国内有名ブランド,直営店,51708
107,ゴールド,ネックレス,27,国内有名ブランド,百貨店,46383
108,ダイア,ブローチ,17,国内有名ブランド,百貨店,78539
109,シルバー,ブレスレット,52,国内有名ブランド,百貨店,17827
110,シルバー,ブローチ,52,海外有名ブランド,直営店,41484
111,プラチナ,指輪,29,海外超有名ブランド,直営店,330677
